Date,Open,Close,High,Low,Volume
1986-03-13,0.10,0.10,0.10,0.09,3582600
1986-03-14,0.10,0.10,0.10,0.10,1070000
1986-03-17,0.10,0.10,0.10,0.10,462400
1986-03-18,0.10,0.10,0.10,0.10,230800
1986-03-19,0.10,0.10,0.10,0.10,166300
1986-03-20,0.10,0.10,0.10,0.09,202900
1986-03-21,0.09,0.09,0.10,0.09,208300
1986-03-24,0.09,0.09,0.09,0.09,226700
1986-03-25,0.09,0.09,0.09,0.09,111400
1986-03-26,0.09,0.09,0.10,0.09,79000
1986-03-27,0.10,0.10,0.10,0.09,58500
1986-03-31,0.10,0.10,0.10,0.09,44700
1986-04-01,0.09,0.09,0.10,0.09,38500
1986-04-02,0.10,0.10,0.10,0.09,93800
1986-04-03,0.10,0.10,0.10,0.10,80000
1986-04-04,0.10,0.10,0.10,0.10,92300
1986-04-07,0.09,0.09,0.10,0.09,57500
1986-04-08,0.10,0.10,0.10,0.09,35600
1986-04-09,0.10,0.10,0.10,0.10,42200
1986-04-10,0.10,0.10,0.10,0.10,48200
1986-04-11,0.10,0.10,0.10,0.10,59800
1986-04-14,0.10,0.10,0.10,0.10,42200
1986-04-15,0.10,0.10,0.10,0.10,32300
1986-04-16,0.10,0.10,0.11,0.10,110800
1986-04-17,0.11,0.11,0.11,0.10,76400
1986-04-18,0.10,0.10,0.11,0.10,75100
1986-04-21,0.10,0.10,0.10,0.10,79600
1986-04-22,0.10,0.10,0.10,0.10,54000
1986-04-23,0.10,0.10,0.10,0.10,54200
1986-04-24,0.11,0.11,0.11,0.10,216100
1986-04-25,0.12,0.12,0.12,0.11,296700
1986-04-28,0.12,0.12,0.12,0.12,100300
1986-04-29,0.11,0.11,0.12,0.11,105300
1986-04-30,0.11,0.11,0.12,0.11,104300
1986-05-01,0.11,0.11,0.11,0.11,188700
1986-05-02,0.11,0.11,0.11,0.11,70300
1986-05-05,0.11,0.11,0.11,0.11,11300
1986-05-06,0.11,0.11,0.11,0.11,33800
1986-05-07,0.11,0.11,0.11,0.11,17900
